ts,model,label,dataset,engine,unparsable,n_error,n_input_error,thinking,max_tokens,limit,smoke,n,n_pos_gold,n_pred_unsafe,precision,recall,f1,n_missing
2026-09-23 22:13:08,sing-guard-8b,SingGuard-8B,vlguard,vllm,0,0,0,fast,1024,,False,1000,442,420,0.9786,0.9299,0.9536,0
2026-09-23 22:14:40,sing-guard-8b,SingGuard-8B,jailbreakv,vllm,0,0,0,fast,1024,,False,1000,1000,832,1.0,0.832,0.9083,0
2026-09-23 22:15:26,sing-guard-8b,SingGuard-8B,spa-vl,vllm,0,0,0,fast,1024,,False,530,265,477,0.5514,0.9925,0.7089,0
2026-09-23 22:19:42,sing-guard-8b,SingGuard-8B,vlsbench,vllm,0,0,0,fast,1024,,False,1000,1000,914,1.0,0.914,0.9551,0
2026-09-23 22:22:33,sing-guard-8b,SingGuard-8B,mm-safety,vllm,0,0,0,fast,1024,,False,758,758,578,1.0,0.7625,0.8653,0
2026-09-23 22:28:01,sing-guard-8b,SingGuard-8B,beavertails-v,vllm,0,0,0,fast,1024,,False,1000,372,347,0.853,0.7957,0.8234,0
2026-09-24 17:01:16,guardreasoner-vl-7b,GuardReasoner-VL-7B,vlguard,vllm,496,0,0,,512,,False,1000,442,594,0.2593,0.3484,0.2973,0
2026-09-24 17:14:26,guardreasoner-vl-7b,GuardReasoner-VL-7B,jailbreakv,vllm,568,0,0,,512,,False,1000,1000,325,1.0,0.325,0.4906,0
2026-09-24 17:19:33,guardreasoner-vl-7b,GuardReasoner-VL-7B,spa-vl,vllm,217,0,0,,512,,False,530,265,266,0.282,0.283,0.2825,0
2026-09-24 17:30:54,guardreasoner-vl-7b,GuardReasoner-VL-7B,vlsbench,vllm,301,0,0,,512,,False,1000,1000,386,1.0,0.386,0.557,0
2026-09-24 17:38:52,guardreasoner-vl-7b,GuardReasoner-VL-7B,mm-safety,vllm,328,0,0,,512,,False,758,758,253,1.0,0.3338,0.5005,0
2026-09-24 17:51:28,guardreasoner-vl-7b,GuardReasoner-VL-7B,beavertails-v,vllm,530,0,0,,512,,False,1000,372,565,0.2531,0.3844,0.3052,0
2026-09-24 18:03:48,guardreasoner-vl-7b,GuardReasoner-VL-7B,vlguard,vllm,0,0,0,,2048,,True,8,4,4,1.0,1.0,1.0,0
2026-09-24 18:03:58,guardreasoner-vl-7b,GuardReasoner-VL-7B,beavertails-v,vllm,0,0,0,,2048,,True,8,2,0,0.0,0.0,0.0,0
2026-09-24 18:14:48,guardreasoner-vl-7b,GuardReasoner-VL-7B,vlguard,vllm,0,0,0,,2048,,False,1000,442,390,0.941,0.8303,0.8822,0
2026-09-24 18:21:16,guardreasoner-vl-7b,GuardReasoner-VL-7B,jailbreakv,vllm,0,0,0,,2048,,False,1000,1000,819,1.0,0.819,0.9005,0
2026-09-24 18:24:37,guardreasoner-vl-7b,GuardReasoner-VL-7B,spa-vl,vllm,0,0,0,,2048,,False,530,265,374,0.5588,0.7887,0.6541,0
2026-09-24 18:35:10,guardreasoner-vl-7b,GuardReasoner-VL-7B,vlsbench,vllm,0,0,0,,2048,,False,1000,1000,442,1.0,0.442,0.613,0
2026-09-24 18:42:32,guardreasoner-vl-7b,GuardReasoner-VL-7B,mm-safety,vllm,0,0,0,,2048,,False,758,758,350,1.0,0.4617,0.6318,0
2026-09-24 18:54:30,guardreasoner-vl-7b,GuardReasoner-VL-7B,beavertails-v,vllm,0,0,0,,2048,,False,1000,372,199,0.7387,0.3952,0.5149,0
2026-09-24 19:01:57,llavaguard-7b,LlavaGuard,vlguard,vllm,263,0,0,,256,,False,1000,442,495,0.4061,0.4548,0.429,0
2026-09-24 19:04:53,llavaguard-7b,LlavaGuard,jailbreakv,vllm,15,0,0,,256,,False,1000,1000,312,1.0,0.312,0.4756,0
2026-09-24 19:09:43,guardreasoner-vl-7b,GuardReasoner-VL-7B,vlguard,vllm,0,0,0,,2048,,False,1000,442,390,0.941,0.8303,0.8822,0
2026-09-24 19:09:43,guardreasoner-vl-7b,GuardReasoner-VL-7B,jailbreakv,vllm,0,0,0,,2048,,False,1000,1000,819,1.0,0.819,0.9005,0
2026-09-24 19:09:43,guardreasoner-vl-7b,GuardReasoner-VL-7B,spa-vl,vllm,0,0,0,,2048,,False,530,265,374,0.5588,0.7887,0.6541,0
2026-09-24 19:09:43,guardreasoner-vl-7b,GuardReasoner-VL-7B,vlsbench,vllm,0,0,0,,2048,,False,1000,1000,442,1.0,0.442,0.613,0
2026-09-24 19:09:43,guardreasoner-vl-7b,GuardReasoner-VL-7B,mm-safety,vllm,0,0,0,,2048,,False,758,758,350,1.0,0.4617,0.6318,0
2026-09-24 19:09:43,guardreasoner-vl-7b,GuardReasoner-VL-7B,beavertails-v,vllm,0,0,0,,2048,,False,1000,372,199,0.7387,0.3952,0.5149,0
